,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
19215,j,"['legroom', 'nicely', 'aligned', 'window', 'unobstructed', 'view', 'engine', 'bad']",0.4404999911785126,"['15a', 'flight', 'ewrtlv', 'lots_choices', 'bed_mode', 'footwell']",6,"['lots_choices', 'footwell', '15a', 'flight', 'bed_mode', 'ewrtlv']",6,"flight, plane, service, way, aircraft, staff, airline, food, crew, experience"
11263,f,,0.5350000262260437,"['15f', 'exit_row', 'seat', 'flight_attendant', 'seat', 'bit', 'barrier', 'overlap', '15e', 'seat']",10,"['seat', 'exit_row', '15e', '15f', 'bit', 'overlap', 'barrier', 'flight_attendant']",8,"flight, plane, american_airlines, crew, people, airline, class, airport, problem, food"
25049,,"['seat', 'recline', 'use', 'small', 'space', 'seat', 'store', 'blanketspillow', 'needed', 'entertainment', 'box', 'seat', 'limits', 'leg', 'room']",,"['entertainment', 'electronic_box', 'leg_room', 'width', 'dont_plan', 'bag', 'floor', 'seat']",8,"['bag', 'seat', 'floor', 'electronic_box', 'entertainment', 'leg_room', 'dont_plan', 'width']",8,
21675,g,"['32000', 'one', 'way', 'suite', 'awesome', 'flew', 'abu', 'dhabi', 'new', 'york', 'comfy', 'seat', 'caviar', 'takeoff', 'takeoff', 'light', 'dinner', 'going', 'bed', 'double', 'bed', 'slept', 'babe', 'took', 'shower', 'bed', 'emirates', 'shower', 'okay']",0.2921999990940094,"['business_class', 'seat', 'left_knee', 'protrusion', 'seat', 'right_armrest', 'rest', 'right_arm', 'kept_hitting', 'seat', 'seat']",11,"['seat', 'business_class', 'left_knee', 'protrusion', 'rest', 'right_arm', 'kept_hitting', 'right_armrest']",8,"flight, service, aircraft, window, premium_economy, economy, space, cabin, business_class, food"
18196,l,"['worst', 'seat', 'toilet', 'constantly', 'pestered', 'people', 'hanging', 'seat', 'awaiting', 'loo', 'plus', 'curtain', 'drawn', 'gets', 'pushed', 'people', 'staff', 'pass', 'cabin']",0.3635999858379364,"['bulkhead_wall', 'blanket_provided']",2,"['blanket_provided', 'bulkhead_wall']",2,"flight, service, food, passenger, plane, crew, window, business_class, class, meal"
19331,i,"['looked', 'forward', 'dtwpvg', 'flight', '350', 'ive', 'tried', 'wont', 'way', 'fly', 'fine', 'travel', 'revolution', 'expected', 'odd', 'number', 'seats', 'aisle', 'private', 'row', 'three', 'window', 'far', 'lav', 'galley', 'noise', 'light', 'real', 'issue', 'noted', 'space', 'limited', 'aisles', 'narrow', 'lav', 'small', 'suite', 'door', 'hassle', 'open', 'close', 'lav', 'door', 'issue', 'light', 'come', 'crew', 'managed', 'lit', 'entire', 'flight', 'door', 'opened', 'closed', 'problem', 'guy', 'seat', '1b', 'galley', 'small', 'crew', 'quarters', 'plane', 'bit', 'crowded', 'noisy', 'dl', 'crews', 'fabulous', 'work', 'hard', 'experience', 'enjoyable']",0.5097000002861023,"['storage', 'overhead_bin', 'g', 'reduces_space', 'size', 'cabin', 'bag_fit', 'bag', 'squashable']",9,"['bag', 'overhead_bin', 'g', 'reduces_space', 'cabin', 'bag_fit', 'size', 'squashable', 'storage']",9,"flight, airline, airport, business_class, plane, experience, cabin, way, bag, day"
6410,n,"['dmelhr', 'july', '23', 'club', 'world', 'seat', '64a', 'novelty', 'travelling', '747', 'aircraft', 'flight', 'three', 'hours', 'long', 'sat', 'upper', 'deck', 'detract', 'excellent', 'service', 'provided', 'two', 'dedicated', 'crew', 'chose', 'seat', 'one', 'step', 'feet', 'exit', 'fraction', 'longer', 'seats', 'three', 'windows', 'compartments', 'beneath', 'window', 'store', 'items', 'use', 'seat', 'bed', 'position', 'relaxing', 'food', 'wine', 'choices', 'club', 'kitchen', 'stocked', 'main', 'deck', 'treats', 'dinner']",0.31769999861717224,"['upper_deck', 'dinner', 'took_three_hours', 'staff', 'old_747', 'tv_screens', 'colour', 'time', 'couple', 'movie', 'dinner_served']",11,"['staff', 'dinner', 'took_three_hours', 'colour', 'movie', 'tv_screens', 'dinner_served', 'upper_deck', 'couple', 'time', 'old_747']",11,"aircraft, flight, plane, service, space, food, people, economy, airline, premium_economy"
12110,n,,0.8449000120162964,"['way', 'seat_pitch', 'inch', 'im_63', 'leg', 'seat']",6,"['leg', 'im_63', 'seat', 'way', 'inch', 'seat_pitch']",6,"aircraft, flight, plane, service, space, food, people, economy, airline, premium_economy"
15743,a,"['wife', 'flew', 'roundtrip', 'phxdfw', 'model', 'a321', 'aa', 'calls', 'a321s', 'confuse', 'model', 'older', 'usair', 'version', 'reserved', '14c', '14d', 'aa', 'seatguru', 'seat', 'maps', 'rows', '11', '15', 'area', 'offset', 'approximately', 'half', 'row', 'truly', 'directly', 'big', 'deal', 'nice', 'maps', 'accurate', 'row', '14', 'mce', 'space', 'ok', 'passengers', 'seat', 'ahead', 'recline', 'seats', 'segment', 'recline', 'tolerably', 'comfortable', 'two', 'hour', 'flight', 'interactive', 'flight', 'display', 'provided', 'welcome', 'entertainmentdistraction', 'cockpit', 'view', 'nice', 'variation', 'seatback', 'power', 'headphone', 'jack', 'connections', 'screen', 'inflight', 'entertainment', 'boxes', 'seats', 'reduce', 'available', 'storage', 'space', 'slightly', 'typical', 'flight', 'noise', 'takeoff', 'cruise', 'rattles', 'shaking', 'ive', 'heard', 'landing', 'theres', 'life', 'raft', 'overhead', 'bin', 'row', '13', 'reducing', 'bin', 'space', 'area', 'prefer', 'two', 'seat', 'md80', 'ok', 'experience']",0.482699990272522,"['paid_upgrade', 'seat', 'extremely_limited', 'area', 'seat', 'large_entertainment_box', 'seat', 'window', 'seat', 'seat', 'block', 'room']",12,"['seat', 'large_entertainment_box', 'block', 'extremely_limited', 'area', 'window', 'paid_upgrade', 'room']",8,"flight, airline, service, crew, passenger, american_airlines, food, airport, staff, aircraft"
28202,,"['ewrlax', 'return', 'new', 'premium', 'plus', 'seat', 'comfortable', 'recline', 'decent', 'seat', 'width', 'foot', 'restleg', 'rest', 'combo', 'seat', 'recline', 'mean', 'added', 'pitch', 'seats', 'fairly', 'tight', 'seat', 'infront', 'reclines', 'convenient', 'small', 'pocket', 'arm', 'charge', 'points', 'devices', 'new', 'ife', 'clear', 'responsive', 'added', 'bonus', 'large', 'signature', '787', 'window', 'view', 'product']",,,0,[],0,
